Y,T
2,0.000000
2.0961099331759363,0.01
2.1864751020243585,0.02
2.2798254459219436,0.03
2.376138473004447,0.04
2.4754858623522455,0.05
2.5779398703555705,0.06
2.683574331913724,0.07
2.7924646834858446,0.08
2.904687996727974,0.09
3.020323012715273,0.10
3.1394501768631513,0.11
3.2621516745609784,0.12
3.3885114675332337,0.13
3.5186153309433186,0.14
3.6525508912553777,0.15
3.79040766486988,0.16
3.9322770975489716,0.17
4.078252604647873,0.18
4.228429612168942,0.19
4.3829055986553485,0.20
4.541780137941602,0.21
4.705154942778512,0.22
4.873133909350554,0.23
5.04582316270389,0.24
5.223331103103671,0.25
5.4057684533397365,0.26
5.593248306999934,0.27
5.7858861777309905,0.28
5.983800049507004,0.29
6.1871104279261635,0.30
6.395940392556666,0.31
6.610415650353239,0.32
6.830664590166051,0.33
7.056818338364374,0.34
7.289010815597586,0.35
7.527378794716795,0.36
7.772061959880624,0.37
8.023202966869299,0.38
8.28094750463174,0.39
8.545444358090514,0.40
8.816845472230499,0.41
9.095306017497194,0.42
9.380984456531388,0.43
9.674042612267389,0.44
9.974645737422469,0.45
10.282962585405853,0.46
10.599165482676145,0.47
10.923430402576534,0.48
11.255937040677951,0.49
11.596868891660673,0.50
11.946413327765775,0.51
12.304761678848205,0.52
12.672109314064139,0.53
13.048655725225693,0.54
13.434604611857031,0.55
13.830163967986145,0.56
14.235546170707941,0.57
14.650968070554251,0.58
15.076651083707667,0.59
15.512821286096575,0.60
15.959709509409597,0.61
16.4175514390684,0.62
16.886587714198633,0.63
17.36706402963955,0.64
17.859231240033754,0.65
18.363345466039178,0.66
18.879668202706487,0.67
19.408466430065772,0.68
19.95001272596744,0.69
20.504585381222995,0.70
21.072468517092375,0.71
21.653952205165485,0.72
22.24933258968655,0.73
22.85891201237075,0.74
23.48299913976377,0.75
24.12190909319582,0.76
24.775963581382864,0.77
25.445491035728505,0.78
26.130826748381676,0.79
26.83231301310564,0.80
27.5502992690157,0.81
28.285142247243417,0.82
29.037206120587108,0.83
29.806862656208793,0.84
30.594491371439585,0.85
31.40047969275662,0.86
32.225223117995604,0.87
33.06912538186483,0.88
33.93259862482738,0.89
34.8160635654201,0.90
35.71994967607862,0.91
36.644695362539984,0.92
37.59074814689493,0.93
38.558564854364214,0.94
39.54861180387418,0.95
40.561365002508836,0.96
41.59731034391684,0.97
42.656943810753454,0.98
43.74077168123977,0.99
44.84931073992186,1.00
45.98308849271581,1.01
47.14264338632475,1.02
48.32852503211715,1.03
49.54129443455615,1.04
50.78152422427288,1.05
52.04979889587697,1.06
53.34671505060112,1.07
54.67288164387737,1.08
56.028920237944426,1.09
57.41546525958914,1.10
58.83316426312496,1.11
60.2826781987145,1.12
61.76468168614352,1.13
63.279863294157686,1.14
64.82892582547412,1.15
66.41258660758294,1.16
68.03157778945635,1.17
69.68664664428438,1.18
71.37855587835975,1.19
73.10808394623668,1.20
74.87602537228963,1.21
76.68319107880323,1.22
78.53040872072417,1.23
80.41852302721074,1.24
82.34839615011785,1.25
84.32090801955756,1.26
86.33695670667815,1.27
88.39745879380911,1.28
90.50334975211986,1.29
92.65558432694512,1.30
94.85513693093199,1.31
97.10300204516724,1.32
99.40019462844617,1.33
101.74775053484805,1.34
104.1467269397864,1.35
106.59820277470548,1.36
109.10327917059843,1.37
111.66307991052513,1.38
114.2787518913125,1.39
116.95146559462299,1.40
119.68241556758063,1.41
122.47282091314875,1.42
125.32392579045603,1.43
128.23699992527276,1.44
131.21333913084328,1.45
134.25426583928262,1.46
137.361129643753,1.47
140.5353078516375,1.48
143.77820604893344,1.49
147.0912586760932,1.50
150.47592961554267,1.51
153.9337127911166,1.52
157.46613277964852,1.53
161.07474543496403,1.54
164.76113852452693,1.55
168.52693237899493,1.56
172.37378055494617,1.57
176.30337051104297,1.58
180.31742429790464,1.59
184.41769926196693,1.60
188.6059887636117,1.61
192.88412290985426,1.62
197.25396930188464,1.63
201.71743379776186,1.64
206.27646129056913,1.65
210.9330365023414,1.66
215.68918479408666,1.67
220.54697299222363,1.68
225.50851023177069,1.69
230.57594881662348,1.70
235.75148509726822,1.71
241.03736036628118,1.72
246.43586177197722,1.73
251.9493232505724,1.74
257.5801264772361,1.75
263.3307018364148,1.76
